id,calculated_host_listings_count,availability_365,host_response_rate_num,room_type_code,host_response_time_code,standardization_score,neighborhood_impact_score
43895634,1,34,100.0,2,0,1,1
43878674,1,365,,2,,0,-1
43918612,1,340,100.0,2,0,1,1
43953816,816,127,87.0,2,2,1,1
44054719,184,353,100.0,2,0,0,0
44121104,1,0,,2,,1,1
44202550,816,151,87.0,2,2,0,-1
44231788,1,55,100.0,1,0,-1,-1
44171845,2,0,,1,,-1,-1
44410909,2,176,100.0,2,0,0,1
44441275,10,321,100.0,2,0,-1,-1
44441651,10,325,100.0,2,0,0,-1
44454270,816,29,87.0,2,2,1,1
44454355,1,0,,2,,0,0
44532653,1,358,100.0,2,2,1,1
44833589,170,276,95.0,2,0,1,1
45175293,1,0,,2,,1,1
44853762,1,0,,2,,0,0
44975640,121,326,100.0,2,0,1,1
45395117,184,321,100.0,2,0,-1,-1
45407936,1,365,,2,,0,0
45309772,4,102,100.0,2,0,1,1
45082385,1,308,100.0,2,0,1,1
45681190,816,225,87.0,2,2,1,1
45539470,816,279,87.0,2,2,0,0
45695584,816,163,87.0,2,2,0,0
45889835,2,261,70.0,1,2,1,1
45892341,1,263,100.0,2,0,1,-1
45897127,1,179,,2,,1,1
46612980,10,359,100.0,1,0,0,0
46324844,7,365,100.0,1,0,-1,-1
46325160,7,362,100.0,1,0,0,0
46325356,7,347,100.0,1,0,1,1
46613144,10,359,100.0,1,0,0,0
46613280,10,325,100.0,1,0,-1,-1
46613662,7,365,100.0,1,0,1,1
46325580,7,337,100.0,1,0,1,1
46326608,10,362,100.0,1,0,-1,-1
46327137,10,361,100.0,1,0,0,-1
46328552,10,308,100.0,1,0,0,0
46350209,7,307,100.0,1,0,1,1
46686664,1,0,100.0,2,0,1,1
46404969,5,0,100.0,1,0,1,1
46501825,4,305,90.0,2,0,1,1
46101458,1,364,,2,,0,0
46116370,1,0,,1,,1,1
46177979,2,283,80.0,2,1,0,0
47391540,9,0,80.0,2,0,-1,1
47392020,9,28,80.0,2,0,-1,-1
47459951,1,256,100.0,2,0,1,1
47791838,816,106,87.0,2,2,1,1
47792898,1,85,100.0,2,0,1,1
47816074,44,0,100.0,2,2,-1,-1
47839124,816,12,87.0,2,2,0,0
